"CH4","CO2","H2O","N2","O2","Qdot","T","f_Bilger","p","U:0","U:1","U:2","RR.CH4","RR.H2O","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.59702e-01,6.04009e-03,4.94497e-03,2.93121e-02,9.24388e-07,2.34029e-07,3.76547e+02,9.61899e-01,1.00000e+05,6.37532e-02,1.22500e-07,0.00000e+00,4.98155e-14,0.00000e+00,1,4.20000e-03,4.20000e-03,0.00000e+00,0.00000e+00
9.43801e-01,8.42140e-03,6.89452e-03,4.08824e-02,1.28958e-06,2.89618e-07,3.99171e+02,9.46863e-01,1.00000e+05,6.21356e-02,1.20000e-07,0.00000e+00,4.98155e-14,2.18517e-15,1,4.40000e-03,4.40000e-03,0.00000e+00,0.00000e+00
9.24121e-01,1.13677e-02,9.30664e-03,5.52027e-02,1.74179e-06,8.66651e-07,4.24928e+02,9.28257e-01,1.00000e+05,6.03703e-02,1.20000e-07,0.00000e+00,0.00000e+00,3.53997e-14,1,4.60000e-03,4.60000e-03,0.00000e+00,0.00000e+00
9.00585e-01,1.48907e-02,1.21909e-02,7.23317e-02,2.28297e-06,1.00236e-05,4.53598e+02,9.06003e-01,1.00000e+05,5.83458e-02,1.20000e-07,0.00000e+00,-1.99261e-13,4.50144e-13,1,4.80000e-03,4.80000e-03,0.00000e+00,0.00000e+00
8.73281e-01,1.89769e-02,1.55361e-02,9.22038e-02,2.91117e-06,1.04680e-04,4.84921e+02,8.80187e-01,1.00000e+05,5.59661e-02,1.20000e-07,0.00000e+00,-2.14206e-12,4.70860e-12,1,5.00000e-03,5.00000e-03,0.00000e+00,0.00000e+00
8.42451e-01,2.35896e-02,1.93126e-02,1.14643e-01,3.62096e-06,9.18655e-04,5.18643e+02,8.51039e-01,1.00000e+05,5.31581e-02,1.17500e-07,0.00000e+00,-1.83819e-11,4.12420e-11,1,5.20000e-03,5.20000e-03,0.00000e+00,0.00000e+00
8.08463e-01,2.86741e-02,2.34752e-02,1.39383e-01,4.40403e-06,6.72253e-03,5.54542e+02,8.18904e-01,1.00000e+05,4.98731e-02,1.12500e-07,0.00000e+00,-1.34302e-10,3.01762e-10,1,5.40000e-03,5.40000e-03,0.00000e+00,0.00000e+00
7.71775e-01,3.41618e-02,2.79680e-02,1.66090e-01,5.24993e-06,4.13401e-02,5.92444e+02,7.84215e-01,1.00000e+05,4.60848e-02,1.07500e-07,0.00000e+00,-8.26188e-10,1.85574e-09,1,5.60000e-03,5.60000e-03,0.00000e+00,0.00000e+00
7.32904e-01,3.99750e-02,3.27272e-02,1.94387e-01,6.14683e-06,2.15903e-01,6.32222e+02,7.47463e-01,1.00000e+05,4.17857e-02,1.05000e-07,0.00000e+00,-4.31531e-09,9.69190e-09,1,5.80000e-03,5.80000e-03,0.00000e+00,0.00000e+00
6.92400e-01,4.60318e-02,3.76858e-02,2.23875e-01,7.08218e-06,9.69395e-01,6.73793e+02,7.09167e-01,1.00000e+05,3.69817e-02,1.05000e-07,0.00000e+00,-1.93758e-08,4.35162e-08,1,6.00000e-03,6.00000e-03,0.00000e+00,0.00000e+00
6.50817e-01,5.22491e-02,4.27759e-02,2.54150e-01,8.04333e-06,3.78914e+00,7.17103e+02,6.69850e-01,1.00000e+05,3.16877e-02,1.05000e-07,0.00000e+00,-7.57354e-08,1.70095e-07,1,6.20000e-03,6.20000e-03,0.00000e+00,0.00000e+00
6.08691e-01,5.85469e-02,4.79318e-02,2.84822e-01,9.01817e-06,1.30492e+01,7.62118e+02,6.30019e-01,1.00000e+05,2.59238e-02,1.05000e-07,0.00000e+00,-2.60821e-07,5.85780e-07,1,6.40000e-03,6.40000e-03,0.00000e+00,0.00000e+00
5.66525e-01,6.48499e-02,5.30921e-02,3.15524e-01,9.99588e-06,4.00325e+01,8.08809e+02,5.90152e-01,1.00000e+05,1.97120e-02,1.05000e-07,0.00000e+00,-8.00150e-07,1.79706e-06,1,6.60000e-03,6.60000e-03,0.00000e+00,0.00000e+00
5.24775e-01,7.10901e-02,5.82008e-02,3.45923e-01,1.09680e-05,1.10498e+02,8.57139e+02,5.50678e-01,1.00000e+05,1.30749e-02,1.05000e-07,0.00000e+00,-2.20857e-06,4.96025e-06,1,6.80000e-03,6.80000e-03,0.00000e+00,0.00000e+00
4.83841e-01,7.72078e-02,6.32093e-02,3.75730e-01,1.19306e-05,2.76917e+02,9.07050e+02,5.11975e-01,1.00000e+05,6.03392e-03,1.07500e-07,0.00000e+00,-5.53489e-06,1.24308e-05,1,7.00000e-03,7.00000e-03,0.00000e+00,0.00000e+00
4.44060e-01,8.31526e-02,6.80763e-02,4.04698e-01,1.28874e-05,6.35537e+02,9.58453e+02,4.74362e-01,1.00000e+05,-1.39037e-03,1.10000e-07,0.00000e+00,-1.27028e-05,2.85293e-05,1,7.20000e-03,7.20000e-03,0.00000e+00,0.00000e+00
4.05708e-01,8.88832e-02,7.27678e-02,4.32627e-01,1.38557e-05,1.34819e+03,1.01125e+03,4.38102e-01,1.00000e+05,-9.17915e-03,1.10000e-07,0.00000e+00,-2.69470e-05,6.05204e-05,1,7.40000e-03,7.40000e-03,0.00000e+00,0.00000e+00
3.69003e-01,9.43673e-02,7.72576e-02,4.59357e-01,1.48752e-05,2.67327e+03,1.06542e+03,4.03397e-01,1.00000e+05,-1.73157e-02,1.10000e-07,0.00000e+00,-5.34321e-05,1.20004e-04,1,7.60000e-03,7.60000e-03,0.00000e+00,0.00000e+00
3.34105e-01,9.95806e-02,8.15259e-02,4.84773e-01,1.60211e-05,5.01535e+03,1.12093e+03,3.70401e-01,1.00000e+05,-2.57847e-02,1.10000e-07,-1.40130e-45,-1.00244e-04,2.25140e-04,1,7.80000e-03,7.80000e-03,0.00000e+00,0.00000e+00
3.01124e-01,1.04507e-01,8.55592e-02,5.08792e-01,1.74231e-05,9.02769e+03,1.17762e+03,3.39218e-01,1.00000e+05,-3.45718e-02,1.12500e-07,0.00000e+00,-1.80441e-04,4.05253e-04,1,8.00000e-03,8.00000e-03,0.00000e+00,0.00000e+00
2.70123e-01,1.09137e-01,8.93496e-02,5.31371e-01,1.92960e-05,1.58471e+04,1.23535e+03,3.09907e-01,1.00000e+05,-4.36626e-02,1.17500e-07,0.00000e+00,-3.16744e-04,7.11376e-04,1,8.20000e-03,8.20000e-03,0.00000e+00,0.00000e+00
2.41126e-01,1.13467e-01,9.28942e-02,5.52490e-01,2.19908e-05,2.76078e+04,1.29394e+03,2.82490e-01,1.00000e+05,-5.30416e-02,1.10000e-07,0.00000e+00,-5.51812e-04,1.23932e-03,1,8.40000e-03,8.40000e-03,0.00000e+00,0.00000e+00
